"name","happinessRank","happinessScore","pop2019"
"Finland",1,"7.7690","5532.1560"
"Denmark",2,"7.6000","5771.8760"
"Norway",3,"7.5540","5378.8570"
"Iceland",4,"7.4940","339.0310"
"Netherlands",5,"7.4880","17097.1300"
"Switzerland",6,"7.4800","8591.3650"
"Sweden",7,"7.3430","10036.3790"
"New Zealand",8,"7.3070","4783.0630"
"Canada",9,"7.2780","37411.0470"
"Austria",10,"7.2460","8955.1020"
"Australia",11,"7.2280","25203.1980"
"Costa Rica",12,"7.1670","5047.5610"
"Israel",13,"7.1390","8519.3770"
"Luxembourg",14,"7.0900","615.7290"
"United Kingdom",15,"7.0540","67530.1720"
"Ireland",16,"7.0210","4882.4950"
"Germany",17,"6.9850","83517.0450"
"Belgium",18,"6.9230","11539.3280"
"United States",19,"6.8920","329064.9170"
"Czech Republic",20,"6.8520","10689.2090"
"United Arab Emirates",21,"6.8250","9770.5290"
"Malta",22,"6.7260","440.3720"
"Mexico",23,"6.5950","127575.5290"
"France",24,"6.5920","65129.7280"
"Taiwan",25,"6.4460","23773.8760"
"Chile",26,"6.4440","18952.0380"
"Guatemala",27,"6.4360","17581.4720"
"Saudi Arabia",28,"6.3750","34268.5280"
"Qatar",29,"6.3740","2832.0670"
"Spain",30,"6.3540","46736.7760"
"Panama",31,"6.3210","4246.4390"
"Brazil",32,"6.3000","211049.5270"
"Uruguay",33,"6.2930","3461.7340"
"Singapore",34,"6.2620","5804.3370"
"El Salvador",35,"6.2530","6453.5530"
"Italy",36,"6.2230","60550.0750"
"Bahrain",37,"6.1990","1641.1720"
"Slovakia",38,"6.1980","5457.0130"
"Trinidad and Tobago",39,"6.1920","1394.9730"
"Poland",40,"6.1820","37887.7680"
"Uzbekistan",41,"6.1740","32981.7160"
"Lithuania",42,"6.1490","2759.6270"
"Colombia",43,"6.1250","50339.4430"
"Slovenia",44,"6.1180","2078.6540"
"Nicaragua",45,"6.1050","6545.5020"
"Argentina",47,"6.0860","44780.6770"
"Romania",48,"6.0700","19364.5570"
"Ecuador",50,"6.0280","17373.6620"
"Kuwait",51,"6.0210","4207.0830"
"Thailand",52,"6.0080","69625.5820"
"Latvia",53,"5.9400","1906.7430"
"South Korea",54,"5.8950","51225.3080"
"Estonia",55,"5.8930","1325.6480"
"Jamaica",56,"5.8900","2948.2790"
"Mauritius",57,"5.8880","1269.6680"
"Japan",58,"5.8860","126860.3010"
"Honduras",59,"5.8600","9746.1170"
"Kazakhstan",60,"5.8090","18551.4270"
"Bolivia",61,"5.7790","11513.1000"
"Hungary",62,"5.7580","9684.6790"
"Paraguay",63,"5.7430","7044.6360"
"Cyprus",64,"5.7180","1198.5750"
"Peru",65,"5.6970","32510.4530"
"Portugal",66,"5.6930","10226.1870"
"Pakistan",67,"5.6530","216565.3180"
"Russia",68,"5.6480","145872.2560"
"Philippines",69,"5.6310","108116.6150"
"Serbia",70,"5.6030","8772.2350"
"Moldova",71,"5.5290","4043.2630"
"Libya",72,"5.5250","6777.4520"
"Montenegro",73,"5.5230","627.9870"
"Tajikistan",74,"5.4670","9321.0180"
"Croatia",75,"5.4320","4130.3040"
"Hong Kong",76,"5.4300","7436.1540"
"Dominican Republic",77,"5.4250","10738.9580"
"Bosnia and Herzegovina",78,"5.3860",3301
"Turkey",79,"5.3730","83429.6150"
"Malaysia",80,"5.3390","31949.7770"
"Belarus",81,"5.3230","9452.4110"
"Greece",82,"5.2870","10473.4550"
"Mongolia",83,"5.2850","3225.1670"
"Nigeria",85,"5.2650","200963.5990"
"Kyrgyzstan",86,"5.2610","6415.8500"
"Turkmenistan",87,"5.2470","5942.0890"
"Algeria",88,"5.2110","43053.0540"
"Morocco",89,"5.2080","36471.7690"
"Azerbaijan",90,"5.2080","10047.7180"
"Lebanon",91,"5.1970","6855.7130"
"Indonesia",92,"5.1920","270625.5680"
"China",93,"5.1910","1433783.6860"
"Vietnam",94,"5.1750","96462.1060"
"Bhutan",95,"5.0820","763.0920"
"Cameroon",96,"5.0440","25876.3800"
"Bulgaria",97,"5.0110","7000.1190"
"Ghana",98,"4.9960","30417.8560"
"Ivory Coast",99,"4.9440","25716.5440"
"Nepal",100,"4.9130","28608.7100"
"Jordan",101,"4.9060","10101.6940"
"Benin",102,"4.8830","11801.1510"
"Republic of the Congo",103,"4.8120","5380.5080"
"Gabon",104,"4.7990","2172.5790"
"Laos",105,"4.7960","7169.4550"
"South Africa",106,"4.7220","58558.2700"
"Albania",107,"4.7190","2880.9170"
"Venezuela",108,"4.7070","28515.8290"
"Cambodia",109,"4.7000","16486.5420"
"Palestine",110,"4.6960","4981.4200"
"Senegal",111,"4.6810","16296.3640"
"Somalia",112,"4.6680","15442.9050"
"Namibia",113,"4.6390","2494.5300"
"Niger",114,"4.6280","23310.7150"
"Burkina Faso",115,"4.5870","20321.3780"
"Armenia",116,"4.5590","2957.7310"
"Iran",117,"4.5480","82913.9060"
"Guinea",118,"4.5340","12771.2460"
"Georgia",119,"4.5190","3996.7650"
"Gambia",120,"4.5160","2347.7060"
"Kenya",121,"4.5090","52573.9730"
"Mauritania",122,"4.4900","4525.6960"
"Mozambique",123,"4.4660","30366.0360"
"Tunisia",124,"4.4610","11694.7190"
"Bangladesh",125,"4.4560","163046.1610"
"Iraq",126,"4.4370","39309.7830"
"DR Congo",127,"4.4180","86790.5670"
"Mali",128,"4.3900","19658.0310"
"Sierra Leone",129,"4.3740","7813.2150"
"Sri Lanka",130,"4.3660","21323.7330"
"Myanmar",131,"4.3600","54045.4200"
"Chad",132,"4.3500","15946.8760"
"Ukraine",133,"4.3320","43993.6380"
"Ethiopia",134,"4.2860","112078.7300"
"Uganda",136,"4.1890","44269.5940"
"Egypt",137,"4.1660","100388.0730"
"Zambia",138,"4.1070","17861.0300"
"Togo",139,"4.0850","8082.3660"
"India",140,"4.0150","1366417.7540"
"Liberia",141,"3.9750","4937.3740"
"Comoros",142,"3.9730","850.8860"
"Madagascar",143,"3.9330","26969.3070"
"Lesotho",144,"3.8020","2125.2680"
"Burundi",145,"3.7750","11530.5800"
"Zimbabwe",146,"3.6630","14645.4680"
"Haiti",147,"3.5970","11263.0770"
"Botswana",148,"3.4880","2303.6970"
"Syria",149,"3.4620","17070.1350"
"Malawi",150,"3.4100","18628.7470"
"Yemen",151,"3.3800","29161.9220"
"Rwanda",152,"3.3340","12626.9500"
"Tanzania",153,"3.2310","58005.4630"
"Afghanistan",154,"3.2030","38041.7540"
"Central African Republic",155,"3.0830","4745.1850"
"South Sudan",156,"2.8530","11062.1130"