"name","literacyRate","pop2019"
"North Korea",100,"25666.1610"
"Latvia","99.9000","1906.7430"
"Ukraine","99.8000","43993.6380"
"Tajikistan","99.8000","9321.0180"
"Poland","99.8000","37887.7680"
"Lithuania","99.8000","2759.6270"
"Kazakhstan","99.8000","18551.4270"
"Azerbaijan","99.8000","10047.7180"
"Georgia","99.8000","3996.7650"
"Estonia","99.8000","1325.6480"
"Cuba","99.8000","11333.4830"
"Turkmenistan","99.7000","5942.0890"
"Slovenia","99.7000","2078.6540"
"Russia","99.7000","145872.2560"
"Armenia","99.7000","2957.7310"
"Belarus","99.7000","9452.4110"
"Uzbekistan","99.6000","32981.7160"
"Palau","99.5000","18.0080"
"Kyrgyzstan","99.5000","6415.8500"
"Tonga","99.4000","104.4940"
"Moldova","99.4000","4043.2630"
"Maldives","99.3000","530.9530"
"Croatia","99.3000","4130.3040"
"Italy","99.2000","60550.0750"
"Hungary","99.1000","9684.6790"
"Cyprus","99.1000","1198.5750"
"Samoa",99,"197.0970"
"Trinidad and Tobago",99,"1394.9730"
"Antigua and Barbuda",99,"97.1180"
"Czech Republic",99,"10689.2090"
"Cayman Islands","98.9000","64.9480"
"Romania","98.8000","19364.5570"
"Montenegro","98.7000","627.9870"
"Uruguay","98.5000","3461.7340"
"Bosnia and Herzegovina","98.5000",3301
"Taiwan","98.5000","23773.8760"
"Mongolia","98.4000","3225.1670"
"Bulgaria","98.4000","7000.1190"
"Spain","98.1000","46736.7760"
"Serbia","98.1000","8772.2350"
"Argentina","98.1000","44780.6770"
"Israel","97.8000","8519.3770"
"Costa Rica","97.8000","5047.5610"
"Greece","97.7000","10473.4550"
"Albania","97.6000","2880.9170"
"Aruba","97.5000","106.3140"
"Chile","97.5000","18952.0380"
"Qatar","97.3000","2832.0670"
"New Caledonia","96.9000","282.7500"
"Singapore","96.8000","5804.3370"
"Thailand","96.7000","69625.5820"
"Palestine","96.5000","4981.4200"
"China","96.4000","1433783.6860"
"Venezuela","96.3000","28515.8290"
"Philippines","96.3000","108116.6150"
"Kuwait","96.3000","4207.0830"
"Macau","96.2000","640.4450"
"Brunei",96,"433.2850"
"Bolivia","95.7000","11513.1000"
"Portugal","95.7000","10226.1870"
"Bahrain","95.7000","1641.1720"
"Suriname","95.6000","581.3720"
"Jordan","95.4000","10101.6940"
"Equatorial Guinea","95.3000","1355.9860"
"Mexico","95.1000","127575.5290"
"Turkey",95,"83429.6150"
"Panama",95,"4246.4390"
"Saudi Arabia","94.7000","34268.5280"
"Colombia","94.7000","50339.4430"
"Malaysia","94.6000","31949.7770"
"Vietnam","94.5000","96462.1060"
"Peru","94.5000","32510.4530"
"Ecuador","94.5000","17373.6620"
"Malta","94.4000","440.3720"
"South Africa","94.3000","58558.2700"
"Paraguay","93.9000","7044.6360"
"Lebanon","93.9000","6855.7130"
"Indonesia","93.9000","270625.5680"
"United Arab Emirates","93.8000","9770.5290"
"Puerto Rico","93.3000","2933.4080"
"Myanmar","93.1000","54045.4200"
"Brazil","92.6000","211049.5270"
"Sri Lanka","92.6000","21323.7330"
"Seychelles","91.8000","97.7390"
"Dominican Republic","91.8000","10738.9580"
"Oman","91.1000","4974.9860"
"Libya",91,"6777.4520"
"Mauritius","90.6000","1269.6680"
"Jamaica","88.7000","2948.2790"
"Botswana","88.5000","2303.6970"
"Honduras","88.5000","9746.1170"
"Guyana","88.5000","782.7660"
"El Salvador",88,"6453.5530"
"Cape Verde","87.6000","549.9350"
"Iran","86.8000","82913.9060"
"Zimbabwe","86.5000","14645.4680"
"Syria","86.4000","17070.1350"
"Burundi","85.6000","11530.5800"
"Vanuatu","85.2000","299.8820"
"Solomon Islands","84.1000","669.8230"
"Gabon","83.2000","2172.5790"
"Nicaragua","82.8000","6545.5020"
"Namibia","81.9000","2494.5300"
"Tunisia","81.8000","11694.7190"
"Guatemala","81.5000","17581.4720"
"Algeria","80.2000","43053.0540"
"Laos","79.9000","7169.4550"
"Iraq","79.7000","39309.7830"
"Lesotho","79.4000","2125.2680"
"Republic of the Congo","79.3000","5380.5080"
"Uganda","78.4000","44269.5940"
"Kenya",78,"52573.9730"
"Comoros","77.8000","850.8860"
"Cambodia","77.2000","16486.5420"
"Ghana","76.6000","30417.8560"
"Sudan","75.9000","42813.2380"
"Cameroon",75,"25876.3800"
"Egypt","73.8000","100388.0730"
"Eritrea","73.8000","3497.1170"
"India","71.2000","1366417.7540"
"Angola","71.1000","31825.2950"
"Tanzania","70.6000","58005.4630"
"Rwanda","70.5000","12626.9500"
"Yemen","70.1000","29161.9220"
"Morocco","68.5000","36471.7690"
"Timor-Leste","67.5000","1293.1190"
"Togo","66.5000","8082.3660"
"Malawi","65.8000","18628.7470"
"Bhutan","64.9000","763.0920"
"Madagascar","64.7000","26969.3070"
"Papua New Guinea","64.2000","8776.1090"
"Nepal","63.9000","28608.7100"
"DR Congo","63.8000","86790.5670"
"Zambia","63.4000","17861.0300"
"Bangladesh","61.5000","163046.1610"
"Haiti","60.7000","11263.0770"
"Guinea-Bissau","59.9000","1920.9220"
"Nigeria","59.6000","200963.5990"
"Mozambique","58.8000","30366.0360"
"Pakistan","57.9000","216565.3180"
"Senegal","57.7000","16296.3640"
"Gambia","55.5000","2347.7060"
"Mauritania","52.1000","4525.6960"
"Ethiopia","49.1000","112078.7300"
"Sierra Leone","48.1000","7813.2150"
"Liberia","47.6000","4937.3740"
"Ivory Coast","43.1000","25716.5440"
"Chad","40.2000","15946.8760"
"Mali","38.7000","19658.0310"
"Benin","38.4000","11801.1510"
"Afghanistan","38.2000","38041.7540"
"Central African Republic","36.8000","4745.1850"
"Burkina Faso",36,"20321.3780"
"Guinea","30.4000","12771.2460"
"South Sudan",27,"11062.1130"
"Niger","19.1000","23310.7150"